time,open,high,low,close,volume
2021-04-09 20:00:00,337.55,337.55,333.47,337.16,7331
2021-04-09 19:45:00,337.51,337.51,337.51,337.51,112
2021-04-09 19:30:00,337.6,337.6,337.6,337.6,250
2021-04-09 18:45:00,337.6,337.6,337.6,337.6,163
2021-04-09 18:15:00,337.6,337.6,337.6,337.6,200
2021-04-09 17:15:00,337.5,337.5,337.5,337.5,304
2021-04-09 17:00:00,337.49,337.6,337.49,337.54,2405
2021-04-09 16:45:00,337.5,337.89,337.45,337.46,156501
2021-04-09 16:30:00,337.6899,337.6899,337.41,337.41,420
2021-04-09 16:15:00,337.9,338.02,337.47,337.58,16609
2021-04-09 16:00:00,337.34,338.08,337.32,337.88,306976
2021-04-09 15:45:00,337.26,337.56,337.26,337.33,194098
2021-04-09 15:30:00,336.42,337.28,336.42,337.24,204529
2021-04-09 15:15:00,336.44,336.52,336.4,336.425,54247
2021-04-09 15:00:00,336.54,336.62,336.45,336.45,54609
2021-04-09 14:45:00,336.4,336.6,336.34,336.5403,61552
2021-04-09 14:30:00,336.37,336.46,336.34,336.4,42634
2021-04-09 14:15:00,336.37,336.44,336.24,336.35,125419
2021-04-09 14:00:00,336.23,336.47,336.23,336.36,98718
2021-04-09 13:45:00,335.97,336.24,335.97,336.22,50668
2021-04-09 13:30:00,335.96,336.0,335.91,335.98,23774
2021-04-09 13:15:00,335.98,336.0,335.85,335.95,57910
2021-04-09 13:00:00,336.05,336.1,335.93,335.97,90742
2021-04-09 12:45:00,335.84,336.07,335.827,336.05,42916
2021-04-09 12:30:00,335.82,335.92,335.8,335.83,53141
2021-04-09 12:15:00,335.78,335.84,335.66,335.81,54124
2021-04-09 12:00:00,335.7898,335.93,335.765,335.7998,65055
2021-04-09 11:45:00,335.8685,335.92,335.775,335.775,55991
2021-04-09 11:30:00,336.03,336.04,335.73,335.87,93680
2021-04-09 11:15:00,335.79,336.13,335.77,336.02,230975
2021-04-09 11:00:00,335.43,335.84,335.36,335.8,69995
2021-04-09 10:45:00,335.76,335.91,335.43,335.48,125243
2021-04-09 10:30:00,335.65,335.7597,335.44,335.7597,93963
2021-04-09 10:15:00,335.94,336.04,335.65,335.66,120646
2021-04-09 10:00:00,336.15,336.28,335.9,335.97,146966
2021-04-09 09:45:00,335.72,336.5,335.58,336.15,294921
2021-04-09 09:30:00,335.58,335.72,335.56,335.69,5886
2021-04-09 09:15:00,335.39,335.5,335.35,335.5,1944
2021-04-09 09:00:00,335.57,335.57,335.4304,335.4304,4198
2021-04-09 08:45:00,335.7,335.83,335.63,335.65,1644
2021-04-09 08:30:00,335.66,335.67,335.63,335.63,3639
2021-04-09 08:15:00,336.0082,336.0082,335.13,335.87,1038
2021-04-09 08:00:00,335.85,336.03,335.85,336.03,405
2021-04-09 07:45:00,336.0,336.0,336.0,336.0,458
2021-04-09 07:30:00,335.9,335.9,335.9,335.9,101
2021-04-09 07:15:00,335.68,335.77,335.68,335.74,3971
2021-04-09 05:00:00,335.52,335.52,335.51,335.52,1000
