time,open,high,low,close,volume
Thu Apr 01 14:45:00 BST 2021,132.925,132.925,132.27,132.36,189711
Thu Apr 01 15:00:00 BST 2021,132.36,132.79,132.32,132.49,174044
Thu Apr 01 15:15:00 BST 2021,132.475,132.825,132.41,132.65,194262
Thu Apr 01 15:30:00 BST 2021,132.66,132.91,132.56,132.62,182361
Thu Apr 01 15:45:00 BST 2021,132.61,132.68,132.34,132.34,156226
Thu Apr 01 16:00:00 BST 2021,132.33,132.95,132.31,132.94,155070
Thu Apr 01 16:15:00 BST 2021,132.94,133.2,132.85,132.87,143412
Thu Apr 01 16:30:00 BST 2021,132.89,132.895,132.565,132.62,99745
Thu Apr 01 16:45:00 BST 2021,132.6,132.86,132.535,132.85,122779
Thu Apr 01 17:00:00 BST 2021,132.86,133.08,132.8,132.98,99696
Thu Apr 01 17:15:00 BST 2021,132.98,132.98,132.68,132.69,74465
Thu Apr 01 17:30:00 BST 2021,132.69,132.78,132.645,132.645,94522
Thu Apr 01 17:45:00 BST 2021,132.65,132.75,132.55,132.73,71542
Thu Apr 01 18:00:00 BST 2021,132.72,132.74,132.63,132.68,79492
Thu Apr 01 18:15:00 BST 2021,132.68,132.735,132.58,132.69,79205
Thu Apr 01 18:30:00 BST 2021,132.68,132.88,132.67,132.79,81131
Thu Apr 01 18:45:00 BST 2021,132.78,132.79,132.63,132.64,64579
Thu Apr 01 19:00:00 BST 2021,132.65,132.79,132.6,132.65,62309
Thu Apr 01 19:15:00 BST 2021,132.65,132.81,132.52,132.52,64491
Thu Apr 01 19:30:00 BST 2021,132.525,132.84,132.52,132.73,118331
Thu Apr 01 19:45:00 BST 2021,132.68,132.82,132.68,132.73,61716
Thu Apr 01 20:00:00 BST 2021,132.73,133.15,132.71,133.1,106093
Thu Apr 01 20:15:00 BST 2021,133.09,133.09,132.74,132.74,117097
Thu Apr 01 20:30:00 BST 2021,132.73,133.07,132.64,133.05,196306
Thu Apr 01 20:45:00 BST 2021,133.06,133.25,132.945,133.24,424341
Thu Apr 01 21:00:00 BST 2021,133.15,133.25,133.15,133.25,413669
Thu Apr 01 21:15:00 BST 2021,133.36,133.36,133.36,133.36,126
Mon Apr 05 12:00:00 BST 2021,133.51,133.51,133.18,133.51,2583
Mon Apr 05 14:30:00 BST 2021,133.64,134.23,133.61,133.825,282580
Mon Apr 05 14:45:00 BST 2021,133.85,133.94,133.4,133.81,181115
Mon Apr 05 15:00:00 BST 2021,133.83,134.32,133.73,134.31,191615
Mon Apr 05 15:15:00 BST 2021,134.3,134.56,134.25,134.34,154723
Mon Apr 05 15:30:00 BST 2021,134.34,134.55,134.24,134.37,135177
Mon Apr 05 15:45:00 BST 2021,134.38,134.91,134.38,134.84,125519
Mon Apr 05 16:00:00 BST 2021,134.83,135.45,134.81,135.25,211187
Mon Apr 05 16:15:00 BST 2021,135.25,135.41,135.15,135.41,87234
Mon Apr 05 16:30:00 BST 2021,135.41,135.64,135.245,135.61,110460
Mon Apr 05 16:45:00 BST 2021,135.61,136,135.59,135.88,163289
