time,open,high,low,close,volume
Mon Mar 01 10:44:00 GMT 2021,124,124,124,124,1529
Mon Mar 01 10:45:00 GMT 2021,124,124,123.95,123.95,3709
Mon Mar 01 10:46:00 GMT 2021,124,124,123.9,123.9,5643
Mon Mar 01 10:48:00 GMT 2021,123.98,124.1,123.98,124.1,1070
Mon Mar 01 10:49:00 GMT 2021,124.01,124.01,124.01,124.01,427
Mon Mar 01 10:50:00 GMT 2021,124.1,124.1,124.1,124.1,576
Mon Mar 01 10:51:00 GMT 2021,124.1,124.1,124.1,124.1,1285
Mon Mar 01 10:54:00 GMT 2021,124.06,124.06,124.04,124.04,1433
Mon Mar 01 10:55:00 GMT 2021,124.02,124.02,124.02,124.02,2576
Mon Mar 01 10:56:00 GMT 2021,124.02,124.02,124,124,4847
Mon Mar 01 10:57:00 GMT 2021,123.99,124,123.99,124,1042
Mon Mar 01 10:58:00 GMT 2021,124,124,123.95,123.95,1366
Mon Mar 01 10:59:00 GMT 2021,123.95,124,123.95,124,5972
Mon Mar 01 11:00:00 GMT 2021,124,124.06,124,124.06,4762
Mon Mar 01 11:01:00 GMT 2021,124.08,124.08,124.08,124.08,591
Mon Mar 01 11:02:00 GMT 2021,124.08,124.1,124.08,124.1,909
Mon Mar 01 11:04:00 GMT 2021,124.08,124.1,124,124.1,6773
Mon Mar 01 11:05:00 GMT 2021,124.1,124.16,124.1,124.1,4510
Mon Mar 01 11:06:00 GMT 2021,124.1,124.1,124,124,3966
Mon Mar 01 11:07:00 GMT 2021,124,124,123.91,123.91,1757
Mon Mar 01 11:08:00 GMT 2021,124.08,124.16,124.08,124.16,2405
Mon Mar 01 11:10:00 GMT 2021,124.11,124.16,124.06,124.16,4452
Mon Mar 01 11:11:00 GMT 2021,124.11,124.11,124.1,124.1,1979
Mon Mar 01 11:13:00 GMT 2021,124.02,124.02,123.98,123.98,3081
Mon Mar 01 11:15:00 GMT 2021,123.96,124,123.96,123.96,752
Mon Mar 01 11:17:00 GMT 2021,124.01,124.01,124.01,124.01,1291
Mon Mar 01 11:19:00 GMT 2021,124.01,124.01,124.01,124.01,301
Mon Mar 01 11:20:00 GMT 2021,124,124,123.96,123.96,1319
Mon Mar 01 11:22:00 GMT 2021,123.88,123.88,123.8,123.8,2892
Mon Mar 01 11:23:00 GMT 2021,123.71,123.75,123.71,123.75,724
Mon Mar 01 11:24:00 GMT 2021,123.73,123.77,123.72,123.77,1332
Mon Mar 01 11:26:00 GMT 2021,123.81,123.81,123.77,123.77,1903
Mon Mar 01 11:27:00 GMT 2021,123.77,123.89,123.56,123.88,5218
Mon Mar 01 11:28:00 GMT 2021,123.8,123.8,123.57,123.6,2329
Mon Mar 01 11:29:00 GMT 2021,123.61,123.63,123.61,123.63,926
Mon Mar 01 11:30:00 GMT 2021,123.66,123.66,123.56,123.56,3486
Mon Mar 01 11:31:00 GMT 2021,123.71,123.71,123.71,123.71,721
Mon Mar 01 11:33:00 GMT 2021,123.8,123.8,123.8,123.8,1388
Mon Mar 01 11:34:00 GMT 2021,123.8,123.8,123.8,123.8,769
Mon Mar 01 11:35:00 GMT 2021,123.86,123.86,123.86,123.86,597
Mon Mar 01 11:36:00 GMT 2021,123.85,123.85,123.85,123.85,136
Mon Mar 01 11:37:00 GMT 2021,123.87,123.94,123.87,123.94,2664
Mon Mar 01 11:39:00 GMT 2021,123.94,123.94,123.94,123.94,311
Mon Mar 01 11:40:00 GMT 2021,123.92,123.98,123.92,123.98,2403
Mon Mar 01 11:42:00 GMT 2021,124,124.02,123.98,124.02,3119
Mon Mar 01 11:43:00 GMT 2021,124,124.01,124,124.01,4665
Mon Mar 01 11:44:00 GMT 2021,124.02,124.02,124.02,124.02,797
Mon Mar 01 11:45:00 GMT 2021,124,124,123.93,123.93,3114
Mon Mar 01 11:46:00 GMT 2021,123.94,123.99,123.93,123.99,2062
Mon Mar 01 11:47:00 GMT 2021,124,124,123.97,123.97,1453
Mon Mar 01 11:49:00 GMT 2021,123.82,123.82,123.8,123.8,1562
Mon Mar 01 11:50:00 GMT 2021,123.71,123.71,123.56,123.7,2044
Mon Mar 01 11:51:00 GMT 2021,123.65,123.65,123.61,123.61,1464
Mon Mar 01 11:53:00 GMT 2021,123.61,123.61,123.51,123.51,7046
Mon Mar 01 11:54:00 GMT 2021,123.51,123.56,123.5,123.56,7719
